Date,Day,Weather,Holiday,Customers,Sales
2024-02-10,Saturday,Cloudy,No,164,16728
2024-02-11,Sunday,Rainy,Yes,128,13568
2024-02-12,Monday,Snowy,No,143,20163
2024-02-13,Tuesday,Snowy,No,141,19176
2024-02-14,Wednesday,Snowy,Yes,139,19321
2024-02-15,Thursday,Sunny,Yes,127,15621
2024-02-16,Friday,Sunny,Yes,77,10164
2024-02-17,Saturday,Snowy,No,55,7810
2024-02-18,Sunday,Cloudy,No,177,18585
2024-02-19,Monday,Snowy,No,141,14805
2024-02-20,Tuesday,Sunny,Yes,230,24150
2024-02-21,Wednesday,Sunny,No,71,8378
2024-02-22,Thursday,Rainy,No,115,16790
2024-02-23,Friday,Sunny,Yes,186,22320
2024-02-24,Saturday,Cloudy,No,149,21158
2024-02-25,Sunday,Sunny,Yes,234,26208
2024-02-26,Monday,Cloudy,Yes,103,11021
2024-02-27,Tuesday,Sunny,Yes,233,28892
2024-02-28,Wednesday,Sunny,No,156,22620
2024-02-29,Thursday,Cloudy,Yes,88,12144
2024-03-01,Friday,Sunny,No,173,22490
2024-03-02,Saturday,Cloudy,No,139,15846
2024-03-03,Sunday,Rainy,No,51,7548
2024-03-04,Monday,Sunny,No,179,20585
2024-03-05,Tuesday,Cloudy,Yes,225,24975
2024-03-06,Wednesday,Rainy,Yes,83,11039
2024-03-07,Thursday,Snowy,No,183,26169
2024-03-08,Friday,Snowy,Yes,157,21352
2024-03-09,Saturday,Cloudy,No,78,11466
2024-03-10,Sunday,Rainy,No,38,4712
2024-03-11,Monday,Cloudy,No,190,25270
2024-03-12,Tuesday,Cloudy,Yes,209,22781
2024-03-13,Wednesday,Rainy,No,90,12060
2024-03-14,Thursday,Rainy,No,155,15965
2024-03-15,Friday,Snowy,Yes,115,16790
2024-03-16,Saturday,Rainy,Yes,144,14400
2024-03-17,Sunday,Sunny,No,115,12650
2024-03-18,Monday,Rainy,No,147,18669
2024-03-19,Tuesday,Rainy,No,82,9512
2024-03-20,Wednesday,Snowy,Yes,186,20088
2024-03-21,Thursday,Snowy,Yes,86,8686
2024-03-22,Friday,Rainy,Yes,105,14280
2024-03-23,Saturday,Sunny,Yes,92,9568
2024-03-24,Sunday,Cloudy,Yes,91,13104
2024-03-25,Monday,Snowy,No,57,7296
2024-03-26,Tuesday,Cloudy,No,87,12093
2024-03-27,Wednesday,Cloudy,No,113,11413
2024-03-28,Thursday,Snowy,No,192,22656
2024-03-29,Friday,Snowy,Yes,151,19328
2024-03-30,Saturday,Cloudy,Yes,146,17812
2024-03-31,Sunday,Snowy,Yes,178,24564
2024-04-01,Monday,Rainy,Yes,194,25220
2024-04-02,Tuesday,Cloudy,Yes,155,19065
2024-04-03,Wednesday,Rainy,Yes,117,16263
2024-04-04,Thursday,Cloudy,Yes,114,12312
2024-04-05,Friday,Sunny,No,114,16872
2024-04-06,Saturday,Sunny,Yes,88,10208
2024-04-07,Sunday,Sunny,No,161,20608
2024-04-08,Monday,Rainy,Yes,208,23088
2024-04-09,Tuesday,Sunny,Yes,89,9434
2024-04-10,Wednesday,Snowy,No,192,26880
2024-04-11,Thursday,Rainy,Yes,134,13936
2024-04-12,Friday,Rainy,No,140,15400
2024-04-13,Saturday,Sunny,No,80,10560
2024-04-14,Sunday,Rainy,Yes,149,19817
2024-04-15,Monday,Snowy,Yes,160,20320
2024-04-16,Tuesday,Cloudy,No,152,22192
2024-04-17,Wednesday,Snowy,No,194,28324
2024-04-18,Thursday,Rainy,Yes,167,20040
2024-04-19,Friday,Cloudy,No,110,16390
2024-04-20,Saturday,Snowy,Yes,186,18600
2024-04-21,Sunday,Sunny,Yes,134,13802
2024-04-22,Monday,Sunny,No,125,15500
2024-04-23,Tuesday,Rainy,Yes,165,24420
2024-04-24,Wednesday,Cloudy,No,158,15800
2024-04-25,Thursday,Snowy,Yes,160,22880
2024-04-26,Friday,Snowy,No,79,10981
2024-04-27,Saturday,Rainy,No,115,11615
2024-04-28,Sunday,Rainy,No,148,14800
2024-04-29,Monday,Sunny,Yes,160,17120
2024-04-30,Tuesday,Cloudy,No,85,12410
2024-05-01,Wednesday,Snowy,No,139,16263
2024-05-02,Thursday,Rainy,No,147,20433
2024-05-03,Friday,Cloudy,Yes,233,26795
2024-05-04,Saturday,Sunny,Yes,126,17010
2024-05-05,Sunday,Rainy,Yes,57,7239
2024-05-06,Monday,Cloudy,No,195,26130
2024-05-07,Tuesday,Snowy,No,60,8580
2024-05-08,Wednesday,Snowy,Yes,188,23876
2024-05-09,Thursday,Cloudy,Yes,230,28060
2024-05-10,Friday,Rainy,Yes,209,28006
2024-05-11,Saturday,Cloudy,No,99,13662
2024-05-12,Sunday,Sunny,No,140,18340
2024-05-13,Monday,Snowy,Yes,126,14742
2024-05-14,Tuesday,Sunny,Yes,220,24860
2024-05-15,Wednesday,Sunny,No,67,8442
2024-05-16,Thursday,Snowy,Yes,109,15042
2024-05-17,Friday,Rainy,Yes,149,19817
2024-05-18,Saturday,Rainy,Yes,133,18487
2024-05-19,Sunday,Sunny,Yes,185,21645
2024-05-20,Monday,Sunny,Yes,160,23040
2024-05-21,Tuesday,Cloudy,No,87,12876
2024-05-22,Wednesday,Rainy,No,183,23607
2024-05-23,Thursday,Snowy,No,192,26688
2024-05-24,Friday,Snowy,No,194,27936
2024-05-25,Saturday,Snowy,Yes,175,21875
2024-05-26,Sunday,Cloudy,Yes,170,17510
2024-05-27,Monday,Cloudy,Yes,170,23290
2024-05-28,Tuesday,Cloudy,No,97,12804
2024-05-29,Wednesday,Rainy,Yes,207,22770
2024-05-30,Thursday,Snowy,No,150,20250
2024-05-31,Friday,Snowy,Yes,137,19454
2024-06-01,Saturday,Cloudy,Yes,80,8880
2024-06-02,Sunday,Snowy,No,122,14640
2024-06-03,Monday,Rainy,Yes,160,21920
2024-06-04,Tuesday,Cloudy,Yes,166,22078
2024-06-05,Wednesday,Cloudy,Yes,108,12420
2024-06-06,Thursday,Rainy,No,141,19458
2024-06-07,Friday,Rainy,No,32,3264
2024-06-08,Saturday,Snowy,Yes,216,28728
2024-06-09,Sunday,Rainy,No,85,8585
2024-06-10,Monday,Snowy,Yes,207,20907
2024-06-11,Tuesday,Rainy,Yes,153,16218
2024-06-12,Wednesday,Rainy,No,177,20709
2024-06-13,Thursday,Cloudy,No,167,21877
2024-06-14,Friday,Snowy,No,73,10147
2024-06-15,Saturday,Cloudy,Yes,126,17262
2024-06-16,Sunday,Rainy,Yes,109,13625
2024-06-17,Monday,Cloudy,No,172,21844
2024-06-18,Tuesday,Rainy,Yes,79,8690
2024-06-19,Wednesday,Rainy,Yes,67,7705
2024-06-20,Thursday,Rainy,Yes,164,20336
2024-06-21,Friday,Sunny,Yes,173,22490
2024-06-22,Saturday,Cloudy,Yes,147,21609
2024-06-23,Sunday,Snowy,Yes,241,31571
2024-06-24,Monday,Cloudy,Yes,189,25326
2024-06-25,Tuesday,Sunny,No,159,18603
2024-06-26,Wednesday,Cloudy,Yes,241,25787
2024-06-27,Thursday,Sunny,No,168,23016
2024-06-28,Friday,Sunny,No,192,23040
2024-06-29,Saturday,Sunny,Yes,128,17024
2024-06-30,Sunday,Snowy,Yes,149,17731
2024-07-01,Monday,Snowy,No,174,22794
2024-07-02,Tuesday,Cloudy,Yes,180,20880
2024-07-03,Wednesday,Sunny,No,134,16482
2024-07-04,Thursday,Sunny,Yes,93,9672
2024-07-05,Friday,Rainy,No,172,21844
2024-07-06,Saturday,Rainy,No,145,15515
2024-07-07,Sunday,Sunny,No,160,22560
2024-07-08,Monday,Snowy,No,72,9504
2024-07-09,Tuesday,Cloudy,No,59,6195
2024-07-10,Wednesday,Sunny,Yes,184,20424
2024-07-11,Thursday,Sunny,No,138,15732
2024-07-12,Friday,Sunny,Yes,240,25200
2024-07-13,Saturday,Rainy,Yes,91,12285
2024-07-14,Sunday,Rainy,No,130,14820
2024-07-15,Monday,Sunny,Yes,177,20886
2024-07-16,Tuesday,Snowy,Yes,201,29949
2024-07-17,Wednesday,Sunny,Yes,178,24208
2024-07-18,Thursday,Cloudy,No,131,14672
2024-07-19,Friday,Rainy,Yes,226,32770
2024-07-20,Saturday,Snowy,No,181,23892
2024-07-21,Sunday,Cloudy,No,100,11500
2024-07-22,Monday,Snowy,Yes,108,12528
2024-07-23,Tuesday,Cloudy,No,73,10001
2024-07-24,Wednesday,Sunny,No,81,8667
2024-07-25,Thursday,Snowy,No,78,9516
2024-07-26,Friday,Cloudy,No,111,14208
2024-07-27,Saturday,Rainy,No,148,17464
2024-07-28,Sunday,Snowy,Yes,210,22050
2024-07-29,Monday,Cloudy,Yes,149,20264
2024-07-30,Tuesday,Snowy,No,102,13260
2024-07-31,Wednesday,Sunny,Yes,118,14632
2024-08-01,Thursday,Snowy,No,75,8400
2024-08-02,Friday,Rainy,No,161,16583
2024-08-03,Saturday,Cloudy,No,140,14840
2024-08-04,Sunday,Sunny,No,139,19182
2024-08-05,Monday,Snowy,Yes,128,18688
2024-08-06,Tuesday,Rainy,No,74,10804
2024-08-07,Wednesday,Snowy,No,82,8938
2024-08-08,Thursday,Snowy,Yes,153,17901
2024-08-09,Friday,Snowy,Yes,183,19215
2024-08-10,Saturday,Snowy,No,124,12524
2024-08-11,Sunday,Rainy,Yes,131,17554
2024-08-12,Monday,Cloudy,No,174,23838
2024-08-13,Tuesday,Sunny,No,142,18034
2024-08-14,Wednesday,Snowy,Yes,139,19043
2024-08-15,Thursday,Rainy,Yes,73,8322
2024-08-16,Friday,Rainy,No,59,7847
2024-08-17,Saturday,Sunny,No,171,21717
2024-08-18,Sunday,Sunny,No,191,19100
2024-08-19,Monday,Cloudy,Yes,212,25440
2024-08-20,Tuesday,Snowy,No,84,11928
2024-08-21,Wednesday,Sunny,Yes,97,14065
2024-08-22,Thursday,Snowy,No,74,9694
2024-08-23,Friday,Rainy,Yes,188,19552
2024-08-24,Saturday,Sunny,Yes,210,26460
2024-08-25,Sunday,Snowy,No,82,9020
2024-08-26,Monday,Snowy,No,167,17535
2024-08-27,Tuesday,Rainy,No,177,23895
2024-08-28,Wednesday,Snowy,Yes,193,19493
2024-08-29,Thursday,Cloudy,No,195,27300
2024-08-30,Friday,Snowy,Yes,174,22098
2024-08-31,Saturday,Sunny,No,169,20111
2024-09-01,Sunday,Cloudy,Yes,95,13775
2024-09-02,Monday,Cloudy,No,91,12740
2024-09-03,Tuesday,Cloudy,No,160,17440
2024-09-04,Wednesday,Snowy,Yes,104,14976
2024-09-05,Thursday,Rainy,Yes,136,15504
2024-09-06,Friday,Snowy,Yes,164,18040
2024-09-07,Saturday,Rainy,No,133,14896
2024-09-08,Sunday,Sunny,No,184,23000
2024-09-09,Monday,Rainy,Yes,72,7704
2024-09-10,Tuesday,Snowy,Yes,203,23142
2024-09-11,Wednesday,Snowy,No,80,9920
2024-09-12,Thursday,Snowy,Yes,146,17666
2024-09-13,Friday,Rainy,Yes,74,9028
2024-09-14,Saturday,Rainy,Yes,146,18250
2024-09-15,Sunday,Sunny,No,199,27661
2024-09-16,Monday,Rainy,Yes,169,19435
2024-09-17,Tuesday,Snowy,No,126,15876
2024-09-18,Wednesday,Snowy,No,194,23668
2024-09-19,Thursday,Sunny,No,165,22110
2024-09-20,Friday,Rainy,No,150,16350
2024-09-21,Saturday,Sunny,Yes,220,24860
2024-09-22,Sunday,Rainy,Yes,223,26314
2024-09-23,Monday,Sunny,Yes,95,10165
2024-09-24,Tuesday,Cloudy,Yes,208,30160
2024-09-25,Wednesday,Rainy,Yes,97,13095
2024-09-26,Thursday,Rainy,No,99,10296
2024-09-27,Friday,Sunny,No,191,20628
2024-09-28,Saturday,Sunny,No,185,26825
2024-09-29,Sunday,Cloudy,Yes,135,13635
2024-09-30,Monday,Cloudy,No,110,16390
2024-10-01,Tuesday,Rainy,Yes,68,6800
2024-10-02,Wednesday,Cloudy,Yes,92,13248
2024-10-03,Thursday,Rainy,Yes,180,23400
2024-10-04,Friday,Snowy,No,186,21390
2024-10-05,Saturday,Rainy,Yes,208,20800
2024-10-06,Sunday,Rainy,Yes,143,14300
2024-10-07,Monday,Snowy,No,140,20440
2024-10-08,Tuesday,Rainy,Yes,139,14039
2024-10-09,Wednesday,Cloudy,No,97,11349
2024-10-10,Thursday,Cloudy,Yes,154,16632
2024-10-11,Friday,Sunny,Yes,75,9150
2024-10-12,Saturday,Rainy,Yes,87,9135
2024-10-13,Sunday,Cloudy,Yes,182,18564
2024-10-14,Monday,Cloudy,No,150,18300
2024-10-15,Tuesday,Snowy,No,140,14420
2024-10-16,Wednesday,Sunny,No,152,16416
2024-10-17,Thursday,Cloudy,No,176,21296
2024-10-18,Friday,Snowy,Yes,107,14017
2024-10-19,Saturday,Sunny,No,120,17880
2024-10-20,Sunday,Snowy,No,135,15120
2024-10-21,Monday,Cloudy,No,114,12198
2024-10-22,Tuesday,Sunny,No,107,14980
2024-10-23,Wednesday,Rainy,No,136,15368
2024-10-24,Thursday,Cloudy,No,179,23628
2024-10-25,Friday,Rainy,No,74,8880
2024-10-26,Saturday,Snowy,No,84,11508
2024-10-27,Sunday,Cloudy,Yes,132,17292
2024-10-28,Monday,Sunny,No,183,24339
2024-10-29,Tuesday,Rainy,No,103,11021
2024-10-30,Wednesday,Rainy,No,66,8646
2024-10-31,Thursday,Sunny,No,79,10428
2024-11-01,Friday,Cloudy,No,73,8979
2024-11-02,Saturday,Rainy,Yes,127,13462
2024-11-03,Sunday,Sunny,No,156,20748
2024-11-04,Monday,Sunny,Yes,181,26064
2024-11-05,Tuesday,Sunny,Yes,203,25781
2024-11-06,Wednesday,Sunny,No,81,11907
2024-11-07,Thursday,Snowy,Yes,184,24472
2024-11-08,Friday,Cloudy,Yes,114,16986
2024-11-09,Saturday,Snowy,Yes,204,30396
2024-11-10,Sunday,Cloudy,No,87,11571
2024-11-11,Monday,Cloudy,Yes,243,29646
2024-11-12,Tuesday,Sunny,Yes,178,20470
2024-11-13,Wednesday,Sunny,Yes,113,12769
2024-11-14,Thursday,Sunny,No,146,15184
2024-11-15,Friday,Rainy,Yes,100,11200
2024-11-16,Saturday,Sunny,No,86,12384
2024-11-17,Sunday,Snowy,Yes,152,15960
2024-11-18,Monday,Rainy,No,58,8642
2024-11-19,Tuesday,Sunny,No,86,10492
2024-11-20,Wednesday,Snowy,Yes,154,19250
2024-11-21,Thursday,Snowy,Yes,118,16756
2024-11-22,Friday,Cloudy,No,105,10815
2024-11-23,Saturday,Rainy,No,117,16029
2024-11-24,Sunday,Sunny,No,89,8900
2024-11-25,Monday,Rainy,Yes,220,22880
2024-11-26,Tuesday,Cloudy,No,50,6850
2024-11-27,Wednesday,Rainy,Yes,92,9568
2024-11-28,Thursday,Snowy,No,71,7952
2024-11-29,Friday,Sunny,Yes,178,22606
2024-11-30,Saturday,Cloudy,No,160,18560
2024-12-01,Sunday,Sunny,No,122,15860
2024-12-02,Monday,Snowy,Yes,184,24656
2024-12-03,Tuesday,Cloudy,Yes,218,31174
2024-12-04,Wednesday,Sunny,No,78,8580
2024-12-05,Thursday,Sunny,Yes,112,12096
2024-12-06,Friday,Rainy,No,59,7611
2024-12-07,Saturday,Rainy,No,116,11600
2024-12-08,Sunday,Cloudy,Yes,144,16272
2024-12-09,Monday,Snowy,Yes,226,28024
2024-12-10,Tuesday,Rainy,Yes,165,17490
2024-12-11,Wednesday,Cloudy,Yes,211,24265
2024-12-12,Thursday,Sunny,Yes,89,10146
2024-12-13,Friday,Sunny,No,89,8989
2024-12-14,Saturday,Snowy,No,82,12136
2024-12-15,Sunday,Rainy,Yes,168,24528
2024-12-16,Monday,Snowy,Yes,130,14040
2024-12-17,Tuesday,Rainy,Yes,176,21296
2024-12-18,Wednesday,Rainy,No,67,8442
2024-12-19,Thursday,Rainy,Yes,163,20538
2024-12-20,Friday,Sunny,Yes,243,33777
2024-12-21,Saturday,Snowy,No,116,11600
2024-12-22,Sunday,Cloudy,No,110,15620
2024-12-23,Monday,Rainy,No,78,10608
2024-12-24,Tuesday,Cloudy,No,75,8325
2024-12-25,Wednesday,Rainy,No,27,3807
2024-12-26,Thursday,Snowy,No,183,25254
2024-12-27,Friday,Sunny,Yes,227,25424
2024-12-28,Saturday,Snowy,Yes,196,29400
2024-12-29,Sunday,Cloudy,No,97,13580
2024-12-30,Monday,Sunny,Yes,163,19723
